Location,X,Y,Z
Nasion,12.3592235933469,13.0862367458967,0
Inion,0,0,0
Ar,12.3592235933469,0.706818342756767,0
Al,0,12.3794184031399,0
Cz,6.17961179667345,6.54311837294836,13
P01,7.77096280836583,15.2188086600428,6
P02,8.97457347203164,15.1824580024154,6
P03,10.0105672144151,14.8229903880991,6
P04,10.9415479458748,14.425152635176,6
P05,11.7008727940935,13.8455615941154,6
P06,12.4965482999396,13.2316393764067,6
P07,13.1548990991931,12.472314528188,6
P08,13.776899240819,11.7473208566175,6
P09,14.2272434992041,10.8405738969095,6
P10,14.6452760619202,9.82679444529836,6
P11,14.8876137794368,8.77262537410113,6
P12,14.7502890728441,8.62722274359117,7
P13,14.4392890020311,9.60869049953342,7
P14,14.0212564393149,10.6224699511446,7
P15,13.5709121809299,11.5292169108525,7
P16,12.948912039304,12.254210582423,7
P17,12.3592235933469,13.0862367458967,7
P18,11.4948857342043,13.6274576483505,7
P19,10.7355608859856,14.207048689411,7
P20,9.80458015452601,14.6048864423341,7
P21,8.76858641214252,14.9643540566504,7
P22,7.56497574847671,15.0007047142779,7
