Location,X,Y,Z
Nasion,12.359223593346900,13.086236745896700,0
Inion,0.000000000000000,0.000000000000000,0
Ar,12.359223593346900,0.706818342756767,0
Al,0.000000000000000,12.379418403139900,0
Cz,6.179611796673450,6.543118372948360,13
P01,7.770962808365830,15.218808660042800,6
P02,8.974573472031640,15.182458002415400,6
P03,10.010567214415100,14.822990388099100,6
P04,10.941547945874800,14.425152635176000,6
P05,11.700872794093500,13.845561594115400,6
P06,12.496548299939600,13.231639376406700,6
P07,13.154899099193100,12.472314528188000,6
P08,13.776899240819000,11.747320856617500,6
P09,14.227243499204100,10.840573896909500,6
P10,14.645276061920200,9.826794445298360,6
P11,14.887613779436800,8.772625374101130,6
P12,14.750289072844100,8.627222743591170,7
P13,14.439289002031100,9.608690499533420,7
P14,14.021256439314900,10.622469951144600,7
P15,13.570912180929900,11.529216910852500,7
P16,12.948912039304000,12.254210582423000,7
P17,12.359223593346900,13.086236745896700,7
P18,11.494885734204300,13.627457648350500,7
P19,10.735560885985600,14.207048689411000,7
P20,9.804580154526010,14.604886442334100,7
P21,8.768586412142520,14.964354056650400,7
P22,7.564975748476710,15.000704714277900,7
P23,7.358988688587590,14.782600768513000,8
P24,8.562599352253400,14.746250110885500,8
P25,9.598593094636890,14.386782496569200,8
P26,10.529573826096500,13.988944743646100,8
P27,11.288898674315200,13.409353702585600,8
P28,12.153236533457800,12.868132800131800,8
P29,12.742924979414900,12.036106636658100,8
P30,13.364925121040800,11.311112965087600,8
P31,13.815269379425800,10.404366005379700,8
P32,14.233301942142000,9.390586553768520,8
